$ PRE_CELL 300000
$ POST_CELL 301002
$ NCONNECTIONS 310
816 1015 3000621
8020 2807 3000622
18237 5049 3000623
5330 4141 3000624
3971 8818 3000625
12008 7340 3000626
21761 7523 3000627
15720 10878 3000628
14026 2604 3000629
12673 1469 3000630
17359 11521 3000631
5859 1421 3000632
3051 8310 3000633
6719 6796 3000634
16365 6375 3000635
12518 6942 3000636
18771 750 3000637
8759 2584 3000638
16725 2783 3000639
15225 2760 3000640
17193 4884 3000641
15540 4569 3000642
11734 2094 3000643
15944 5950 3000644
14387 8657 3000645
5110 4502 3000646
7083 3995 3000647
4938 6385 3000648
12888 11896 3000649
5641 2068 3000650
19650 3767 3000651
3461 6308 3000652
11023 2185 3000653
15542 4615 3000654
7016 5498 3000655
16296 2264 3000656
6451 2082 3000657
15420 8259 3000658
5718 247 3000659
9449 2557 3000660
15932 8921 3000661
9318 9073 3000662
4906 3806 3000663
14211 2180 3000664
15123 2146 3000665
11403 4804 3000666
2376 2030 3000667
5376 5217 3000668
10563 8705 3000669
22266 8480 3000670
7698 2662 3000671
13525 10636 3000672
4040 762 3000673
10418 1355 3000674
15586 2832 3000675
2857 8820 3000676
12117 1198 3000677
20181 869 3000678
19122 636 3000679
13612 1117 3000680
5230 1596 3000681
4898 6274 3000682
12255 2288 3000683
17192 7844 3000684
19469 3933 3000685
5329 4142 3000686
13889 2304 3000687
1853 9157 3000688
3855 6413 3000689
2598 8500 3000690
15495 2260 3000691
15652 3186 3000692
16155 1667 3000693
13801 6245 3000694
13893 968 3000695
3956 11313 3000696
1864 9154 3000697
4926 6308 3000698
12523 8371 3000699
14791 4276 3000700
16065 3268 3000701
8161 1248 3000702
3422 2444 3000703
18282 3541 3000704
7697 5868 3000705
18136 1667 3000706
11173 9297 3000707
15428 7198 3000708
7017 4500 3000709
7437 3740 3000710
5273 9174 3000711
6659 6796 3000712
11104 1513 3000713
17796 3073 3000714
13597 3399 3000715
6910 2818 3000716
17796 2745 3000717
4656 2691 3000718
19059 753 3000719
15226 2759 3000720
13021 1790 3000721
20205 11420 3000722
14255 5764 3000723
13644 6169 3000724
5402 5690 3000725
6434 5499 3000726
17640 9477 3000727
8182 6061 3000728
2025 1455 3000729
5068 2357 3000730
15512 2109 3000731
15772 4116 3000732
14861 6823 3000733
15994 1407 3000734
6299 2535 3000735
17232 6529 3000736
17584 5416 3000737
7474 6870 3000738
20288 5568 3000739
3809 5712 3000740
5238 395 3000741
9649 5318 3000742
141 61 3000743
18056 5859 3000744
15951 7470 3000745
7887 7789 3000746
11646 325 3000747
3368 10166 3000748
13293 968 3000749
17000 5219 3000750
13712 7285 3000751
12391 865 3000752
17264 7896 3000753
2254 5267 3000754
2083 2943 3000755
2081 1455 3000756
10222 1766 3000757
122 139 3000758
17576 10919 3000759
6108 6894 3000760
9626 730 3000761
19941 483 3000762
4331 5282 3000763
1073 4051 3000764
7139 4697 3000765
14963 1830 3000766
2852 7911 3000767
18926 4593 3000768
10308 2559 3000769
18780 7509 3000770
15298 2260 3000771
20121 1357 3000772
10015 9073 3000773
18926 5418 3000774
12618 7254 3000775
6123 11139 3000776
16333 6351 3000777
7252 7789 3000778
12517 7300 3000779
13220 5223 3000780
19307 12197 3000781
11262 6940 3000782
14536 11880 3000783
20274 4076 3000784
21728 9743 3000785
20700 4084 3000786
1876 6899 3000787
10941 230 3000788
7016 4534 3000789
7854 7905 3000790
1359 5253 3000791
14791 4750 3000792
16412 9477 3000793
21166 12383 3000794
16405 5576 3000795
15782 2804 3000796
21637 4361 3000797
19144 11516 3000798
3326 7911 3000799
6656 6264 3000800
2143 10758 3000801
3174 5802 3000802
1422 1626 3000803
18009 4437 3000804
13181 8183 3000805
18335 4591 3000806
2773 2198 3000807
12480 4734 3000808
2596 7692 3000809
7181 8023 3000810
7475 1296 3000811
21286 1977 3000812
9487 11535 3000813
7770 4755 3000814
5104 3164 3000815
5963 11474 3000816
5479 5217 3000817
8768 1569 3000818
12401 1522 3000819
20492 7570 3000820
21015 10622 3000821
17183 11336 3000822
20678 11080 3000823
4046 2630 3000824
16086 11853 3000825
15264 3835 3000826
19966 11845 3000827
18309 8026 3000828
17304 5859 3000829
16753 6212 3000830
10077 2664 3000831
9437 1380 3000832
19485 6539 3000833
5225 1715 3000834
2046 6400 3000835
15018 2182 3000836
20061 5066 3000837
10814 653 3000838
2745 200 3000839
2291 9151 3000840
2757 505 3000841
3585 565 3000842
236 3376 3000843
1607 1959 3000844
14066 759 3000845
20653 2965 3000846
6072 6796 3000847
10563 8272 3000848
3692 481 3000849
5771 924 3000850
8705 7744 3000851
19159 12477 3000852
721 4289 3000853
15864 5415 3000854
703 2275 3000855
12649 9576 3000856
1239 4308 3000857
11165 6989 3000858
17198 5300 3000859
19964 11418 3000860
7890 7446 3000861
14700 3235 3000862
7328 7428 3000863
17190 9265 3000864
16074 10636 3000865
5237 745 3000866
6202 6337 3000867
16793 6667 3000868
17576 11337 3000869
4598 7936 3000870
3327 8748 3000871
3764 2496 3000872
13542 3631 3000873
6551 7353 3000874
7246 6581 3000875
12618 6726 3000876
12167 2811 3000877
3782 8311 3000878
122 80 3000879
6335 3598 3000880
12276 2292 3000881
16251 5546 3000882
7017 4005 3000883
14797 4612 3000884
2779 2956 3000885
13461 1869 3000886
15756 2593 3000887
11025 2181 3000888
2129 8314 3000889
18474 3077 3000890
17015 2744 3000891
10888 2197 3000892
7518 1588 3000893
13535 1696 3000894
20797 2965 3000895
14715 4217 3000896
20467 11039 3000897
3564 6725 3000898
11993 6940 3000899
3899 4704 3000900
4737 6204 3000901
8855 11537 3000902
5755 3555 3000903
1390 4712 3000904
10227 925 3000905
4391 6265 3000906
20470 12132 3000907
11085 1589 3000908
12037 2791 3000909
20769 11257 3000910
4807 9834 3000911
21877 9394 3000912
4804 5790 3000913
15650 2603 3000914
4380 5814 3000915
6466 747 3000916
4189 1466 3000917
6508 1524 3000918
9297 4278 3000919
16353 8429 3000920
15086 11974 3000921
20939 11221 3000922
21018 11081 3000923
21162 11040 3000924
15593 11095 3000925
15172 11974 3000926
10197 11539 3000927
21017 11081 3000928
21238 10382 3000929
16194 11974 3000930
