$ PRE_CELL 301000
$ POST_CELL 300000
$ NCONNECTIONS 310
3772 13687 3001241
5269 2257 3001242
2409 2083 3001243
4086 18715 3001244
4315 3440 3001245
6295 4934 3001246
4287 673 3001247
11219 9541 3001248
6421 11935 3001249
9497 15403 3001250
9256 3433 3001251
6295 5366 3001252
3652 14152 3001253
11950 16193 3001254
2388 1999 3001255
5544 15765 3001256
766 1061 3001257
11516 19331 3001258
11485 7983 3001259
7313 6662 3001260
10928 2258 3001261
4177 4467 3001262
7696 15430 3001263
845 19683 3001264
4533 4592 3001265
3074 18801 3001266
178 10218 3001267
1117 14185 3001268
4443 20732 3001269
514 3237 3001270
10986 17183 3001271
5864 16008 3001272
7739 8952 3001273
1517 12752 3001274
7453 7257 3001275
4085 19181 3001276
12133 20861 3001277
5339 17347 3001278
6062 8491 3001279
978 11535 3001280
6107 20701 3001281
4299 2939 3001282
9907 6532 3001283
3034 18995 3001284
1410 20432 3001285
12500 22121 3001286
2560 8757 3001287
6805 3174 3001288
4785 1221 3001289
2394 4765 3001290
1614 10915 3001291
6217 8130 3001292
2226 1243 3001293
1263 13612 3001294
1953 1576 3001295
6740 9653 3001296
2779 18600 3001297
4828 4763 3001298
6568 603 3001299
4516 6338 3001300
5359 6495 3001301
6653 20885 3001302
7450 7942 3001303
8343 13256 3001304
2514 15751 3001305
8346 11832 3001306
7733 18511 3001307
2236 9396 3001308
12401 20859 3001309
3861 3761 3001310
5281 3887 3001311
5215 1538 3001312
5933 13113 3001313
1684 9937 3001314
701 6969 3001315
6128 17639 3001316
4998 10120 3001317
4526 8971 3001318
9315 15877 3001319
4759 4296 3001320
4534 4658 3001321
2766 8288 3001322
6805 2373 3001323
857 5069 3001324
3791 6176 3001325
3805 3977 3001326
3835 15527 3001327
3584 5180 3001328
5249 5377 3001329
387 4057 3001330
3487 19815 3001331
12170 19165 3001332
7312 7942 3001333
3131 1413 3001334
1210 2080 3001335
10878 12902 3001336
4662 21139 3001337
729 12392 3001338
7527 19826 3001339
3509 17441 3001340
5243 16776 3001341
10933 6090 3001342
972 6915 3001343
5666 17221 3001344
3939 20915 3001345
1456 2081 3001346
3680 5841 3001347
6401 3622 3001348
2274 514 3001349
3073 17796 3001350
8753 2002 3001351
4087 20530 3001352
7826 12573 3001353
89 608 3001354
2558 10294 3001355
4206 17198 3001356
3393 14717 3001357
12501 21913 3001358
9251 11561 3001359
2141 14028 3001360
4175 7795 3001361
619 14021 3001362
6400 2748 3001363
3598 5677 3001364
1591 5642 3001365
1996 3264 3001366
2109 16274 3001367
7450 8489 3001368
8377 3512 3001369
3069 18476 3001370
844 19351 3001371
4218 1130 3001372
3190 19363 3001373
4805 10458 3001374
5093 18387 3001375
7381 6850 3001376
3160 17281 3001377
11257 21161 3001378
5131 18412 3001379
7793 4147 3001380
4198 14163 3001381
1573 16456 3001382
6538 19485 3001383
3152 10778 3001384
11953 16549 3001385
10694 1965 3001386
1993 7291 3001387
12319 21603 3001388
2535 5805 3001389
9574 5882 3001390
11599 17853 3001391
7903 1432 3001392
3321 576 3001393
2243 12192 3001394
12417 20859 3001395
1566 7030 3001396
3645 18049 3001397
988 9438 3001398
1236 17155 3001399
5231 8636 3001400
1130 17155 3001401
7460 13136 3001402
1372 19608 3001403
5268 1947 3001404
11216 8244 3001405
6398 2062 3001406
6740 8336 3001407
10158 17641 3001408
8792 6849 3001409
5594 13192 3001410
823 15643 3001411
2486 1250 3001412
6725 4736 3001413
766 789 3001414
3757 3080 3001415
5780 10640 3001416
3806 3978 3001417
484 10362 3001418
2129 20887 3001419
5234 9025 3001420
2598 15656 3001421
8469 6183 3001422
8164 18627 3001423
2743 15649 3001424
8414 8489 3001425
4437 18349 3001426
1318 3419 3001427
9601 2847 3001428
6919 4598 3001429
3067 17004 3001430
3598 7558 3001431
4345 6725 3001432
2591 15291 3001433
3807 2174 3001434
5481 8337 3001435
3785 14253 3001436
3484 17684 3001437
3731 14455 3001438
10592 8202 3001439
9905 5027 3001440
2715 17559 3001441
5221 19356 3001442
8753 1767 3001443
133 123 3001444
4924 16475 3001445
11488 3375 3001446
8657 14387 3001447
1948 20369 3001448
2944 2694 3001449
7512 6830 3001450
1550 10230 3001451
5080 14881 3001452
349 18453 3001453
872 13893 3001454
9265 16412 3001455
835 13491 3001456
4899 17234 3001457
2298 17158 3001458
5251 1538 3001459
858 10814 3001460
5864 15265 3001461
1871 13465 3001462
9599 8578 3001463
6567 607 3001464
5288 16011 3001465
11158 7202 3001466
9572 5888 3001467
4142 5527 3001468
7770 13226 3001469
3348 7444 3001470
3188 19377 3001471
8466 10442 3001472
8819 2859 3001473
11543 19712 3001474
2944 3242 3001475
8780 13052 3001476
1524 5599 3001477
5655 8947 3001478
3723 4041 3001479
1525 6224 3001480
4141 4977 3001481
1591 5226 3001482
765 1423 3001483
2150 10946 3001484
5853 17692 3001485
5277 1594 3001486
2604 12256 3001487
864 12697 3001488
1910 6911 3001489
7908 2631 3001490
633 6415 3001491
2032 4464 3001492
5575 17950 3001493
4771 11280 3001494
8894 15468 3001495
1524 5055 3001496
1792 13368 3001497
1590 12998 3001498
1410 20365 3001499
7703 18936 3001500
2176 15298 3001501
5831 11191 3001502
5660 16010 3001503
5733 1357 3001504
6904 4879 3001505
5802 2046 3001506
3252 5851 3001507
1345 17405 3001508
7925 6694 3001509
5059 16834 3001510
6539 19485 3001511
