$ PRE_CELL 300000
$ POST_CELL 301003
$ NCONNECTIONS 310
18287 10297 3000931
6596 5589 3000932
17676 2319 3000933
16311 9801 3000934
2974 6831 3000935
2449 7827 3000936
11116 1528 3000937
21907 11943 3000938
19057 386 3000939
2399 2944 3000940
18403 4907 3000941
4589 4971 3000942
13790 9045 3000943
4656 4026 3000944
17018 3329 3000945
10331 4999 3000946
19316 11542 3000947
6717 7784 3000948
9124 4676 3000949
15151 759 3000950
2756 1880 3000951
15374 8259 3000952
1975 10454 3000953
2856 8819 3000954
11332 8371 3000955
11062 5096 3000956
2635 9220 3000957
9111 8380 3000958
8133 2172 3000959
14467 4116 3000960
2544 5204 3000961
11398 3229 3000962
17030 2144 3000963
5375 5249 3000964
6998 1001 3000965
4736 7729 3000966
8806 11034 3000967
13467 1872 3000968
16781 5416 3000969
5304 3354 3000970
13080 6426 3000971
11268 7781 3000972
18376 2576 3000973
5303 2912 3000974
7873 4345 3000975
20919 4148 3000976
4593 4007 3000977
19940 483 3000978
10521 10251 3000979
6938 3146 3000980
703 2162 3000981
10331 5471 3000982
20768 11940 3000983
6883 981 3000984
8224 1141 3000985
17923 1759 3000986
8942 3545 3000987
20847 12038 3000988
17032 2600 3000989
18254 5976 3000990
7258 7454 3000991
19412 845 3000992
12872 1004 3000993
10971 1693 3000994
8890 2768 3000995
15910 5667 3000996
20862 12132 3000997
10229 1850 3000998
12038 4736 3000999
538 1777 3001000
11640 2153 3001001
15417 5255 3001002
1071 101 3001003
13371 2195 3001004
634 2881 3001005
15709 11853 3001006
9507 1437 3001007
16719 5851 3001008
14340 4886 3001009
16987 555 3001010
698 5534 3001011
15057 6677 3001012
8973 4952 3001013
12041 5223 3001014
21402 5145 3001015
9725 4263 3001016
14356 6765 3001017
5799 2355 3001018
6663 6785 3001019
2393 1453 3001020
18836 483 3001021
5115 8399 3001022
15342 4884 3001023
14565 413 3001024
2379 2689 3001025
5332 4142 3001026
16780 6662 3001027
4046 2724 3001028
3734 7511 3001029
10075 5318 3001030
11777 661 3001031
20743 5964 3001032
5245 2069 3001033
10850 6010 3001034
6076 4242 3001035
9339 7506 3001036
5287 9549 3001037
16122 1020 3001038
15981 2717 3001039
13162 8704 3001040
2005 8753 3001041
7541 2817 3001042
20486 7233 3001043
19814 3933 3001044
446 2726 3001045
15641 620 3001046
5839 3257 3001047
21019 12417 3001048
15021 3961 3001049
8051 3336 3001050
4416 6309 3001051
3418 1991 3001052
9437 1380 3001053
17249 7568 3001054
1753 8314 3001055
17411 2143 3001056
3585 762 3001057
17929 3596 3001058
4087 7324 3001059
14821 5080 3001060
2399 2956 3001061
20075 12254 3001062
19127 1279 3001063
7545 2081 3001064
12242 193 3001065
7752 7726 3001066
16809 5304 3001067
7727 1296 3001068
