$ PRE_CELL 300000
$ POST_CELL 301001
$ NCONNECTIONS 310
15541 4413 3000311
5551 2898 3000312
19546 5945 3000313
5115 7443 3000314
18313 7196 3000315
12201 2048 3000316
13279 1831 3000317
15115 822 3000318
3369 9984 3000319
11793 1476 3000320
6422 4017 3000321
17810 3193 3000322
13125 5213 3000323
6732 9144 3000324
5306 2439 3000325
8116 4492 3000326
2081 1454 3000327
19742 1124 3000328
5396 4344 3000329
16899 3916 3000330
4147 7801 3000331
8947 6221 3000332
14087 11896 3000333
2107 9879 3000334
16423 8894 3000335
16906 4925 3000336
21285 3412 3000337
5677 3598 3000338
6724 5208 3000339
2709 1107 3000340
15655 3763 3000341
5539 2032 3000342
705 2212 3000343
6532 9574 3000344
7014 5514 3000345
1781 627 3000346
20466 11364 3000347
14428 1574 3000348
14580 2587 3000349
17011 3076 3000350
19819 5560 3000351
1578 149 3000352
5233 1377 3000353
15878 7045 3000354
13494 176 3000355
16086 11880 3000356
7437 4693 3000357
11540 2344 3000358
14994 3731 3000359
5375 5249 3000360
4467 5147 3000361
22379 8202 3000362
7286 7809 3000363
8806 11081 3000364
7009 4531 3000365
20858 11257 3000366
9050 3008 3000367
9797 9948 3000368
1414 3565 3000369
8326 3111 3000370
19293 4086 3000371
21728 9360 3000372
10060 4508 3000373
6820 2450 3000374
8625 4263 3000375
3620 1623 3000376
21166 12417 3000377
5693 7936 3000378
12617 6993 3000379
4421 9834 3000380
20298 731 3000381
12852 1762 3000382
14590 1762 3000383
14345 7206 3000384
1245 361 3000385
16134 3075 3000386
19471 5064 3000387
20005 9820 3000388
18029 3207 3000389
12049 7770 3000390
12831 2286 3000391
15944 5576 3000392
7103 1081 3000393
6073 6617 3000394
16408 7356 3000395
21087 10381 3000396
11607 1360 3000397
6818 4324 3000398
4219 9195 3000399
9409 970 3000400
4229 7728 3000401
2987 6843 3000402
14972 1130 3000403
609 4307 3000404
20300 869 3000405
4296 5217 3000406
4147 8287 3000407
19235 6758 3000408
3472 9835 3000409
20571 12028 3000410
19547 3221 3000411
15992 1237 3000412
4871 2444 3000413
17425 3074 3000414
8629 4804 3000415
13827 5830 3000416
4467 3861 3000417
12609 5294 3000418
7498 3995 3000419
7254 6787 3000420
3915 7343 3000421
123 133 3000422
6075 7306 3000423
16717 5287 3000424
13797 7696 3000425
13105 5592 3000426
1853 8753 3000427
11025 2181 3000428
18619 5059 3000429
4124 252 3000430
16337 5061 3000431
13891 873 3000432
7730 9921 3000433
3823 6358 3000434
18005 4809 3000435
8692 5481 3000436
334 2467 3000437
7586 10865 3000438
15407 9258 3000439
22160 8480 3000440
4916 9871 3000441
17194 5416 3000442
12134 866 3000443
13592 1115 3000444
13087 4281 3000445
6433 7606 3000446
2183 6375 3000447
15989 2761 3000448
14094 10636 3000449
6661 7307 3000450
17251 5573 3000451
13022 2173 3000452
17238 6531 3000453
12721 978 3000454
3698 1465 3000455
13217 4754 3000456
18922 10711 3000457
951 2487 3000458
3073 9601 3000459
13239 7732 3000460
2105 7403 3000461
8065 8654 3000462
2651 3757 3000463
13020 1791 3000464
685 1075 3000465
7477 829 3000466
5479 5249 3000467
14192 1255 3000468
11098 484 3000469
14886 8921 3000470
2398 1798 3000471
11282 8704 3000472
18634 7217 3000473
353 3814 3000474
14689 3960 3000475
15784 5287 3000476
15236 4068 3000477
13972 2048 3000478
4697 1204 3000479
13191 8499 3000480
3588 2946 3000481
15084 11742 3000482
2373 6279 3000483
6109 7406 3000484
10222 2149 3000485
7518 1588 3000486
5074 1714 3000487
10015 9073 3000488
4510 9195 3000489
8780 6609 3000490
10915 1940 3000491
6973 268 3000492
4667 924 3000493
6820 2439 3000494
4329 5283 3000495
8393 5739 3000496
5241 1920 3000497
20083 11891 3000498
11784 1511 3000499
21908 12032 3000500
3217 2400 3000501
12864 289 3000502
13887 2304 3000503
5774 1252 3000504
18739 11521 3000505
12602 4114 3000506
15551 5436 3000507
13483 325 3000508
7626 11034 3000509
13191 9045 3000510
6291 396 3000511
2315 8753 3000512
19029 11892 3000513
14289 7954 3000514
